date,store,item,sales
2021-01-01,1,101,65.0
2021-01-02,1,101,109.0
2021-01-03,1,101,105.0
2021-01-04,1,101,69.0
2021-01-05,1,101,76.0
2021-01-06,1,101,65.0
2021-01-07,1,101,70.0
2021-01-08,1,101,76.0
2021-01-09,1,101,108.0
2021-01-10,1,101,116.0
2021-01-11,1,101,72.0
2021-01-12,1,101,75.0
2021-01-13,1,101,89.0
2021-01-14,1,101,82.0
2021-01-15,1,101,77.0
2021-01-16,1,101,119.0
2021-01-17,1,101,110.0
2021-01-18,1,101,69.0
2021-01-19,1,101,72.0
2021-01-20,1,101,78.0
2021-01-21,1,101,81.0
2021-01-22,1,101,83.0
2021-01-23,1,101,111.0
2021-01-24,1,101,124.0
2021-01-25,1,101,84.0
2021-01-26,1,101,81.0
2021-01-27,1,101,88.0
2021-01-28,1,101,82.0
2021-01-29,1,101,74.0
2021-01-30,1,101,127.0
2021-01-31,1,101,118.0
2021-02-01,1,101,85.0
2021-02-02,1,101,84.0
2021-02-03,1,101,88.0
2021-02-04,1,101,89.0
2021-02-05,1,101,84.0
2021-02-06,1,101,393.0
2021-02-07,1,101,124.0
2021-02-08,1,101,82.0
2021-02-09,1,101,83.0
2021-02-10,1,101,80.0
2021-02-11,1,101,92.0
2021-02-12,1,101,80.0
2021-02-13,1,101,123.0
2021-02-14,1,101,131.0
2021-02-15,1,101,84.0
2021-02-16,1,101,90.0
2021-02-17,1,101,80.0
2021-02-18,1,101,93.0
2021-02-19,1,101,94.0
2021-02-20,1,101,
2021-02-21,1,101,135.0
2021-02-22,1,101,82.0
2021-02-23,1,101,90.0
2021-02-24,1,101,84.0
2021-02-25,1,101,86.0
2021-02-26,1,101,89.0
2021-02-27,1,101,139.0
2021-02-28,1,101,134.0
2021-03-01,1,101,93.0
2021-03-02,1,101,90.0
2021-03-03,1,101,91.0
2021-03-04,1,101,
2021-03-05,1,101,86.0
2021-03-06,1,101,140.0
2021-03-07,1,101,142.0
2021-03-08,1,101,94.0
2021-03-09,1,101,96.0
2021-03-10,1,101,83.0
2021-03-11,1,101,87.0
2021-03-12,1,101,97.0
2021-03-13,1,101,139.0
2021-03-14,1,101,132.0
2021-03-15,1,101,96.0
2021-03-16,1,101,90.0
2021-03-17,1,101,95.0
2021-03-18,1,101,96.0
2021-03-19,1,101,90.0
2021-03-20,1,101,140.0
2021-03-21,1,101,146.0
2021-03-22,1,101,97.0
2021-03-23,1,101,92.0
2021-03-24,1,101,96.0
2021-03-25,1,101,89.0
2021-03-26,1,101,99.0
2021-03-27,1,101,138.0
2021-03-28,1,101,132.0
2021-03-29,1,101,84.0
2021-03-30,1,101,83.0
2021-03-31,1,101,94.0
2021-04-01,1,101,87.0
2021-04-02,1,101,90.0
2021-04-03,1,101,150.0
2021-04-04,1,101,147.0
2021-04-05,1,101,97.0
2021-04-06,1,101,89.0
2021-04-07,1,101,88.0
2021-04-08,1,101,100.0
2021-04-09,1,101,96.0
2021-04-10,1,101,144.0
2021-04-11,1,101,131.0
2021-04-12,1,101,101.0
2021-04-13,1,101,90.0
2021-04-14,1,101,101.0
2021-04-15,1,101,81.0
2021-04-16,1,101,85.0
2021-04-17,1,101,137.0
2021-04-18,1,101,148.0
2021-04-19,1,101,90.0
2021-04-20,1,101,91.0
2021-04-21,1,101,88.0
2021-04-22,1,101,101.0
2021-04-23,1,101,88.0
2021-04-24,1,101,137.0
2021-04-25,1,101,132.0
2021-04-26,1,101,88.0
2021-04-27,1,101,87.0
2021-04-28,1,101,94.0
2021-04-29,1,101,80.0
2021-04-30,1,101,83.0
2021-05-01,1,101,142.0
2021-05-02,1,101,131.0
2021-05-03,1,101,86.0
2021-05-04,1,101,
2021-05-05,1,101,90.0
2021-05-06,1,101,87.0
2021-05-07,1,101,83.0
2021-05-08,1,101,126.0
2021-05-09,1,101,131.0
2021-05-10,1,101,83.0
2021-05-11,1,101,83.0
2021-05-12,1,101,85.0
2021-05-13,1,101,88.0
2021-05-14,1,101,84.0
2021-05-15,1,101,122.0
2021-05-16,1,101,122.0
2021-05-17,1,101,82.0
2021-05-18,1,101,84.0
2021-05-19,1,101,
2021-05-20,1,101,80.0
2021-05-21,1,101,91.0
2021-05-22,1,101,130.0
2021-05-23,1,101,124.0
2021-05-24,1,101,86.0
2021-05-25,1,101,84.0
2021-05-26,1,101,88.0
2021-05-27,1,101,94.0
2021-05-28,1,101,84.0
2021-05-29,1,101,123.0
2021-05-30,1,101,128.0
2021-05-31,1,101,87.0
2021-06-01,1,101,72.0
2021-06-02,1,101,71.0
2021-06-03,1,101,82.0
2021-06-04,1,101,84.0
2021-06-05,1,101,127.0
2021-06-06,1,101,119.0
2021-06-07,1,101,78.0
2021-06-08,1,101,81.0
2021-06-09,1,101,78.0
2021-06-10,1,101,78.0
2021-06-11,1,101,78.0
2021-06-12,1,101,124.0
2021-06-13,1,101,118.0
2021-06-14,1,101,70.0
2021-06-15,1,101,79.0
2021-06-16,1,101,77.0
2021-06-17,1,101,86.0
2021-06-18,1,101,81.0
2021-06-19,1,101,114.0
2021-06-20,1,101,120.0
2021-06-21,1,101,
2021-06-22,1,101,79.0
2021-06-23,1,101,65.0
2021-06-24,1,101,81.0
2021-06-25,1,101,73.0
2021-06-26,1,101,101.0
2021-06-27,1,101,108.0
2021-06-28,1,101,65.0
2021-06-29,1,101,75.0
2021-06-30,1,101,73.0
2021-07-01,1,101,66.0
2021-07-02,1,101,65.0
2021-07-03,1,101,108.0
2021-07-04,1,101,104.0
2021-07-05,1,101,64.0
2021-07-06,1,101,65.0
2021-07-07,1,101,70.0
2021-07-08,1,101,71.0
2021-07-09,1,101,72.0
2021-07-10,1,101,94.0
2021-07-11,1,101,108.0
2021-07-12,1,101,70.0
2021-07-13,1,101,68.0
2021-07-14,1,101,58.0
2021-07-15,1,101,67.0
2021-07-16,1,101,62.0
2021-07-17,1,101,92.0
2021-07-18,1,101,97.0
2021-07-19,1,101,72.0
2021-07-20,1,101,59.0
2021-07-21,1,101,63.0
2021-07-22,1,101,56.0
2021-07-23,1,101,66.0
2021-07-24,1,101,91.0
2021-07-25,1,101,89.0
2021-07-26,1,101,63.0
2021-07-27,1,101,61.0
2021-07-28,1,101,58.0
2021-07-29,1,101,65.0
2021-07-30,1,101,52.0
2021-07-31,1,101,93.0
2021-08-01,1,101,82.0
2021-08-02,1,101,60.0
2021-08-03,1,101,59.0
2021-08-04,1,101,53.0
2021-08-05,1,101,64.0
2021-08-06,1,101,55.0
2021-08-07,1,101,75.0
2021-08-08,1,101,83.0
2021-08-09,1,101,59.0
2021-08-10,1,101,54.0
2021-08-11,1,101,63.0
2021-08-12,1,101,58.0
2021-08-13,1,101,58.0
2021-08-14,1,101,82.0
2021-08-15,1,101,90.0
2021-08-16,1,101,53.0
2021-08-17,1,101,55.0
2021-08-18,1,101,63.0
2021-08-19,1,101,56.0
2021-08-20,1,101,58.0
